"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"16/00482/B","Replacement of garage door with a window and widening of driveway and vehicular access","Plot 12 Of Approved Residential Development Off Raad Kirree Varrey Slieau Whallian View Peel Isle Of Man  ","PER","03-Jun-16","2016"
"16/00483/B","Alterations and erection of an extension to dwelling","Chadkirk Rowan Avenue Ballaugh Isle Of Man IM7 5EN ","PER","31-May-16","2016"
"16/00999/B","Construction of domestic garage sitting on a concrete base with access via wooden sliding doors.","Sunny Bank Laurel Bank St Johns Isle Of Man IM4 3NL ","PER","02-Nov-16","2016"
"16/01012/B","Removal of existing porch and extension to living room with car port.","Ballamenagh Beg Jurby Road Sandygate Ramsey Isle Of Man IM7 3AG","PER","18-Oct-16","2016"
"16/01018/B","Creation of a window to side elevation of dwelling.","121 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JB","PER","13-Oct-16","2016"
"16/01041/B","Conversion of an office to a retail unit.","International House Tower Street Ramsey Isle Of Man  ","PER","01-Nov-16","2016"
"16/01056/B","Removal of a sod hedge","Field 414114 Howe Road Port St. Mary Isle Of Man  ","PER","18-Nov-16","2016"
"16/00384/B","Conversion and external alterations to building to create tourist living accommodation and widening of existing vehicular entrances","Redundant Milking Parlour The Views Farm Bradda Road Port Erin Isle Of Man  ","PER","06-Jun-16","2016"
"16/00385/B","Installation of replacement windows to front elevation of dwelling","14 Christian Road Douglas Isle Of Man IM1 2QN","REF","23-Jun-16","2016"
"16/00386/B","Alterations and erection of extension to rear elevation of dwelling","Cronk Cottage 13 Cronkbourne Avenue Douglas Isle Of Man IM2 3LA","PER","08-Jul-16","2016"
"16/00387/B","Alterations, erection of extension and raising roof level to dwelling (amendments to PA 15/00680/B)","Leafy Rise Main Road Glen Vine Isle Of Man IM4 4AZ","PER","11-May-16","2016"
"16/00388/B","Installation of replacement windows and front door to dwelling (partial retrospective)","14 Somerset Road Douglas Isle Of Man IM2 5AD","PER","24-May-16","2016"
"16/00389/B","Creation of an additional window to rear elevation of dwelling (retrospective)","18 Farrant Street Douglas Isle Of Man IM2 3HG","PER","13-Jul-16","2016"
"16/00390/B","Variation of condition two of approved PA 14/00201/B, conversion and extension of ground floor from commercial to restaurant and takeaway with upper and part ground floor to staff apartment, to amend the Sunday opening hours from 11.00 - 15.00 to 17.00 - ","Old IOM Bank Bowring Road Ramsey Isle Of Man IM8 2LQ ","PER","16-May-16","2016"
"16/01061/B","Enlargement and replacement windows with french doors.","43 Cronk Y Berry Douglas Isle Of Man IM2 6ET","PER","09-Nov-16","2016"
"16/01072/B","Replacement roof to milking parlour","Milking Parlour Glendown Farm Truggan Road Port St. Mary Isle Of Man  ","PER","04-Nov-16","2016"
"16/01098/D","Illuminated Signage (Retrospective)","22 Nelson Street Douglas Isle Of Man IM1 2AL ","PER","01-Nov-16","2016"
"16/01136/B","Replacement of rear extension","38 Murrays Road Douglas Isle Of Man IM2 3HW ","PER","15-Nov-16","2016"
"15/01121/B","Installation of decking (retrospective)","4 Manor Hill Douglas Isle Of Man IM2 2NZ","PER","03-Jun-16","2016"
"15/01333/B","Installation of windows and doors to front elevation, creation of pedestrian access from yard to rear lane and use of part of existing workshop premises for the display and sale of building materials","37A Hope Street Douglas Isle Of Man IM1 1AR","PER","15-Jan-16","2016"
"15/01334/B","Erection of an implement shed","Croft House Church Road Santon Isle Of Man IM4 1EZ","PER","15-Jan-16","2016"
"16/00076/D","Installation of non-illuminated fascia sign","10 Victoria Street Douglas Isle Of Man IM1 2LH","PER","10-May-16","2016"
"16/00077/B","Installation of a flue","10 Victoria Street Douglas Isle Of Man IM1 2LH","PER","03-Mar-16","2016"
"16/00095/B","Erection of a single storey extension to rear elevation","35 Meadow Crescent Douglas Isle Of Man IM2 1NS","PER","05-May-16","2016"
"16/00106/B","Erection of a detached garage with storage space and office above","Treljah  Treljah Lane Glen Maye Isle Of Man IM5 3AY","PER","17-Aug-16","2016"
"16/00150/B","Replacement of existing glazed conservatory roof with light weight roof tiles","14 Tromode Heights Douglas Isle Of Man IM2 5LU","PER","14-Mar-16","2016"
"16/00151/B","Replacement of existing glazed conservatory roof with light weight roof tiles","Athol Lodge Fistard Port St. Mary Isle Of Man IM9 5PE ","PER","29-Mar-16","2016"
"16/00152/B","Replacement of existing glazed conservatory roof with light weight roof tiles","12 Pinehurst Close Douglas Isle Of Man IM2 1PL","PER","14-Mar-16","2016"
"16/00153/B","Replacement of existing glazed conservatory roof with light weight roof tiles","8 Birch Hill Grove Onchan Isle Of Man IM3 4EJ","PER","14-Mar-16","2016"
"16/00154/B","Replacement of existing glazed conservatory roof with light weight roof tiles","16 Erin Lane Port Erin Isle Of Man IM9 6FE ","PER","29-Mar-16","2016"
"16/00155/B","Installation of replacement windows to front and rear elevations","9 Park Road Douglas Isle Of Man IM2 3EL","PER","29-Mar-16","2016"
"16/00157/B","Conversion from existing scout and guide headquarters with ground floor apartment into two individual dwellings","Cunningham House   60 - 62 Murrays Road Douglas Isle Of Man IM2 3HN","PER","29-Mar-16","2016"
"16/00262/B","Alterations and extensions to dwelling and provision of new entrance gates","Bluebell House Braaid Farm Braaid Road Braaid Isle Of Man IM4 2AW ","PER","18-Apr-16","2016"
"16/00315/B","Alterations, replacement of existing windows (partial retrospective), installation of roof lights and replacement of window with bi-folding doors","Wychwood House Alexander Drive Douglas Isle Of Man IM2 3QR","PER","16-May-16","2016"
"16/00316/B","Installation of a dormer window to dwelling","Wychwood House Alexander Drive Douglas Isle Of Man IM2 3QR","PER","16-May-16","2016"
"16/00317/B","Replacement of existing glazed conservatory roof with fibreglass finish","1 Laurys Avenue Ramsey Isle Of Man IM8 2HE","PER","18-May-16","2016"
"16/00562/B","Installation of a flue to side elevation of dwelling","31 Thorny Road Douglas Isle Of Man IM2 5EG","PER","10-Aug-16","2016"
"16/00563/B","Alterations, replacement of garage door with a window and erection of an extension to dwelling","2 Mountain View Peel Isle Of Man IM5 1QD","PER","07-Jul-16","2016"
"16/00564/B","Demolition of existing out buildings and erection of a conservatory","18 Stanley Road Peel Isle Of Man IM5 1NX","PER","29-Jun-16","2016"
"16/00565/B","Erection of a single storey open fronted building to provide a six bay golf driving range with associated facilities","King Edward Bay Golf Club Groudle Road Onchan Isle Of Man IM3 2JR ","PER","30-Jun-16","2016"
"16/00750/B","Change of Material for Conservatory Roof to match existing property","12 Glebe Aalin Ballaugh Isle Of Man IM7 5BW","PER","21-Sep-16","2016"
"16/00846/B","Installation of replacement windows","14 Christian Road Douglas Isle Of Man IM1 2QN","PER","12-Sep-16","2016"
"16/00849/B","Internal alterations and refurbishment including increased opening for new entrance and replacement of glazed shopfronts","Isle Of Man Bank 2 - 4 Regent Street Douglas Isle Of Man IM1 2EA ","PER","08-Sep-16","2016"
"16/00887/D","Erection of two advertisement hoardings","Entrance To Reayrt Ny Cronk & Slieau Whallian Residential Developments  Poortown Road Peel Isle Of Man  ","PER","08-Sep-16","2016"
"16/00919/B","Erection of garage with external hardstanding to front","Garage Opposite 4 Windsor Terrace Douglas Isle Of Man IM1 3LH","PER","05-Dec-16","2016"
"16/00965/B","The creation of a new front entrance to the property plus external alterations","Sunnybank 2 Brookside Ballanard Road Douglas Isle Of Man IM2 5PW","PER","29-Sep-16","2016"
"16/01077/B","Creation of a doorway and replacement of an existing doorway with a window","16 Cronk Ny Greiney Douglas Isle Of Man IM2 5LW","PER","19-Oct-16","2016"
"16/01113/B","Installation of an external timber staircase (retrospective) and creation of two additional windows to agricultural building","Ballaghennie Farm Lhen Road Bride Isle Of Man IM7 4BF","PER","25-Nov-16","2016"
"16/01115/B","Alteration, erection of extension, creation of a turning area, entrance access alterations and landscaping.","Dhoon Plat Main Road Dhoon Ramsey Isle Of Man IM7 1HL ","PER","01-Dec-16","2016"
"16/01116/B","External positioning of multi-fuel burner flue. (16/00169/B)","26 St Runius Way Glen Vine Isle Of Man IM4 4FG","PER","18-Nov-16","2016"
"16/01156/B","Demolition of and Replacement store/stables.","Stables Upper Scard Farm Ballakillowey Road Colby Isle Of Man IM9 4BP ","PER","21-Nov-16","2016"
"16/01170/LAW","Application to make lawful the use of land as a garden","Maynrys Saint Marys Road Port Erin Isle Of Man IM9 6JP","CLAWA","15-Nov-16","2016"
"16/01179/B","Roofing works and erection of first floor extension to dwelling.","White House Bungalow Fistard Port St Mary Isle Of Man IM9 5PQ ","PER","14-Dec-16","2016"
"16/01204/D","Installation of illuminated and non-illuminated signage.","11 - 11A Michael Street Peel Isle Of Man IM5 1HB","PER","24-Nov-16","2016"
"16/01249/C","Additional use of residential accommodation as tourist living accommodation","The Boat House Head Road Douglas Isle Of Man IM1 5BF ","PER","20-Dec-16","2016"
"16/01276/B","Alterations including replacement dormer, external decking, alterations to windows and cladding to rear elevation","Misselthwaite Lodge Clay Head Road Baldrine Isle Of Man IM4 6DH ","PER","15-Dec-16","2016"
"15/01339/D","Erection of illuminated signage","RL360 House Isle Of Man Business Park Douglas Isle Of Man IM2 2SP ","PER","15-Jan-16","2016"
"15/01350/B","Erection of a detached store building to rear of dwelling","White Coppice Glen Auldyn Ramsey Isle Of Man IM7 2AG ","PER","02-Mar-16","2016"
"15/01351/B","Replacement of existing glazed conservatory roof with roof tiles","47 Claughbane Drive Ramsey Isle Of Man IM8 2BJ","PER","12-Jan-16","2016"
"15/01356/D","Erection of signage","37 South Quay Douglas Isle Of Man IM1 5AX ","PER","15-Jan-16","2016"
"15/01363/B","Installation of three air handling units, transformer and condensers in rear yard of Data Centre (part retrospective)","Continent 8 House Units 3B, 3C & 3D   Middle River Industrial Estate Douglas Isle Of Man IM2 1AL ","PER","19-Jan-16","2016"
"15/01365/B","Replacement of existing glazed conservatory roof with light weight roof tiles","12 Seafield Crescent Onchan Isle Of Man IM3 3BY","PER","19-Jan-16","2016"
"16/00049/B","Installation of a replacement door and side window to dwelling","Harbour View Back Shore Road Laxey Isle Of Man IM4 7DQ","PER","18-Feb-16","2016"
"16/00050/B","Erection of a summerhouse (retrospective)","20 Claughbane Drive Ramsey Isle Of Man IM8 2AY","PER","18-Feb-16","2016"
"16/00052/B","Alterations, demolition of existing porch and erection of a two storey side extension to dwelling","Westbourne Darragh Port Erin Isle Of Man IM9 6JB","PER","22-Feb-16","2016"
"16/00340/B","Replacement of existing glazed conservatory roof with tiles","46 Ballakermeen Drive Douglas Isle Of Man IM1 4HS","PER","31-May-16","2016"
"16/00437/B","Conversion of existing residential property to provide three residential apartments","Waverley House 5 Christian Road Douglas Isle Of Man IM1 2QH","PER","05-Aug-16","2016"
"16/00438/B","Installation of replacement front elevation balcony door and rear elevation door to dwelling","36 Selborne Drive Douglas Isle Of Man IM2 3NH","PER","06-Jun-16","2016"
"16/00439/B","Installation of replacement windows to dwelling","67 Derby Square Douglas Isle Of Man IM1 3LR","PER","11-Jul-16","2016"
"16/00440/B","Creation of a driveway and vehicular access to dwelling","9 St Catherines Close Douglas Isle Of Man IM1 4HY ","PER","06-Jun-16","2016"
"16/00441/A","Approval in principle for the erection of a detached dwelling addressing siting and means of access","Land To Rear Of Trammon Walpole Road Ramsey Isle Of Man  ","REF","28-Jul-16","2016"
"16/00442/B","Replacement of existing barn with cattle shed","Barn Ballellin Farm Lower Glen Mona Road Glen Mona Maughold Isle Of Man  ","PER","15-Jul-16","2016"
"16/00718/B","Removal of rear wall to create off road parking","26 Mona Street Douglas Isle Of Man IM1 2QD","PER","08-Aug-16","2016"
"16/00825/B","Alterations and erection of extension to dwelling","Arkadia Alexander Drive Douglas Isle Of Man IM2 3QX","PER","07-Sep-16","2016"
"16/00826/B","Replacement of existing glazed conservatory roof with a solid roof with tiles","31 Cedar Walk Douglas Isle Of Man IM2 5NF","PER","22-Sep-16","2016"
"16/00827/B","Alterations and erection of a side extension to dwelling","75 Port E Chee Avenue Douglas Isle Of Man IM2 5EZ","PER","31-Oct-16","2016"
"16/00828/B","Erection of a building to provide a hydrotherapy pool and adjacent covered barbecue area (retrospective)","The Old Vicarage Lonan Church Road Laxey Isle Of Man IM4 7JX","PER","02-Nov-16","2016"
"16/00829/B","Erection of a garden implement shed (retrospective)","The Old Vicarage Lonan Church Road Laxey Isle Of Man IM4 7JX","PER","02-Nov-16","2016"
"16/00922/B","Installation of replacement windows","Harris View Apartments Mona Terrace Douglas Isle Of Man  ","PER","27-Sep-16","2016"
"16/00923/B","Installation of external fire escape stairway","Callows Yard Malew Street Castletown Isle Of Man IM9 1DQ ","PER","21-Sep-16","2016"
"16/01092/CON","Registered Building consent for the installation of replacement rear door, window, front fascia boards and guttering (in association with 16/01091/GB) Registered Building Nos. 127","23 Governors Road Onchan Isle Of Man IM3 1AY","PER","18-Nov-16","2016"
"16/01095/B","Replacement roof atrium.","Crenagh Glen Auldyn Ramsey Isle Of Man IM7 2AG ","PER","01-Nov-16","2016"
"16/00037/B","Installation of replacement shop windows and door","Chantilly Lace Bay View Road Port St. Mary Isle Of Man IM9 5AG ","PER","22-Feb-16","2016"
"16/01021/B","Provision of second 40ft storage container.","Old River Road Yard Old River Road Ramsey Isle Of Man IM8 3AE","PER","14-Oct-16","2016"
"16/01064/B","Removal and installation of new windows.","3 Christian Street Peel Isle Of Man IM5 1NW","PER","09-Dec-16","2016"
"16/01122/B","Creation of driveway and vehicular access.","74 Westbourne Drive Douglas Isle Of Man IM1 4BD","REF","28-Nov-16","2016"
"16/00132/B","Erection of a first floor extension to dwelling","Mar Rhenny Upper Ballastrooan Colby Isle Of Man IM9 4NR","PER","29-Mar-16","2016"
"16/00133/B","Alteration and conversion of part of outbuilding to a dwelling, extension to outbuilding to create tack/store room and installation of replacement windows","Upper Garth Farm  Garth Road Crosby Isle Of Man IM4 2HB","PER","25-Jul-16","2016"
"16/00401/B","Installation of three penstocks to bridge","Apostle's Bridge Castletown Isle Of Man  ","PER","11-May-16","2016"
"16/00402/D","Erection of a timber hoarding to extend around area of demolition works","Central Area Of Clagh Vane Estate ( 2-44 (even) & 41-79 (odd) Ballasalla Isle Of Man IM9 2HE","PER","26-May-16","2016"
"16/00404/B","Alterations and extension to existing building to create a dwelling and extension of residential curtilage into adjacent field","Store Adjacent To Glen View St. Judes Isle Of Man  ","REF","06-Jun-16","2016"
"16/00405/B","Removal of a chimney","4 Malew Street Castletown Isle Of Man IM9 1AB","PER","25-May-16","2016"
"16/00688/B","Replacement of existing cladding with composite cladding","Storage Hut 2 Island Seafare Ltd The Quay Port St. Mary Isle Of Man IM9 5ED","PER","23-Aug-16","2016"
"16/00977/B","Replacement of existing conservatory with garden room extension, including new bay window to existing house","Ballacollister Grange Ballacollister Road Laxey Isle Of Man IM4 7JR","PER","13-Oct-16","2016"
"15/01272/B","Alterations, erection of a gable end porch and creation of a rear canopy and an external doorway to rear outlet","Union Mills Memorial Hall Main Road Union Mills Isle Of Man IM4 4AD","PER","15-Jan-16","2016"
"16/00064/D","Erection of advertising signage (in association with 16/00065/CON)","5 Parliament Square Castletown Isle Of Man IM9 1LA","PER","24-Feb-16","2016"
"16/00065/CON","Registered Building Consent for erection of advertising signage (RB no 64 in association with 16/00064/D)","5 Parliament Square Castletown Isle Of Man IM9 1LA","PER","24-Feb-16","2016"
"16/00135/B","Replacement of existing doorway with a window and creation of a porch over main entrance","Kittiwake Cottage Minorca Hill Laxey Isle Of Man IM4 7EA","PER","09-Mar-16","2016"
"16/00137/B","Alterations and extension to rear elevation to provide additional living accommodation","13 Westlands Close Ramsey Isle Of Man IM8 3PU ","PER","09-Mar-16","2016"
"16/00717/B","Removal of conservatory and erection of extension","21 Abbots Way Ballasalla Isle Of Man IM9 3EQ ","PER","05-Aug-16","2016"
"16/00964/B","Creation of a water borehole","Island Aggregates Site At Oatlands Quarry Oatlands Road Santon Isle Of Man  ","PER","02-Nov-16","2016"
"16/00966/B","Creation of field accesses","Field 124385 & Field 124388 Smeale Road Andreas Isle Of Man  ","PER","09-Nov-16","2016"
"16/01024/D","Installation of a digital sign (retrospective)","Skanco Court Cooil Road Douglas Isle Of Man IM2 2SR ","PER","08-Nov-16","2016"
"16/01155/B","Conversion of existing conservatory to sunroom with pitched roof.","27 Ballaterson Fields Ballaugh Isle Of Man IM7 5AW","PER","10-Nov-16","2016"
"16/00021/B","Conversion of two existing barns to create three tourist / residential units","Barnagh  Rhencullen Kirk Michael Isle Of Man IM6 2HB ","PER","10-May-16","2016"
