Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/00122/B,Installation of replacement windows to front elevation,20-Mar-12,Planning Committee,Marina Cottage 17 - 18 Shore Road Peel Isle Of Man IM5 1NH
Permitted,12/00123/B,Construction of a replacement terrace,02-Mar-12,Senior Planning Officer - North (CB),Bracken Hills Surby Road Surby Port Erin Isle Of Man IM9 6TD
Permitted,12/00124/B,Erection of a vertical axis wind generator and installation of photovoltaic cells to roof,08-Mar-12,Senior Planning Officer - North (CB),Jubilee Buildings Victoria Street Douglas Isle Of Man IM1 2LR
Permitted,12/00125/B,Demolition of existing outbuilding and erection of a log cabin,08-Mar-12,Senior Planning Officer - North (CB),Valley Crest Main Road Santon Isle Of Man IM4 1EJ
Permitted,12/00126/B,Erection of a steel container store (Retrospective) and erection of timber chicken shed,17-Apr-12,Planning Committee,Field 130853 Jurby Road Andreas Isle Of Man  
Permitted,12/00127/B,Erection of a porch to front elevation of dwelling,08-Mar-12,Senior Planning Officer - North (CB),16 King Edward Park Onchan Isle Of Man IM3 2AE
Refused,12/00128/B,Change of use from agricultural field to private garden including erection of a summerhouse and shed (Retrospective),20-Apr-12,Senior Planning Officer - South (SC),Field 124530 Smeale Road Andreas Isle Of Man  
Permitted,12/00129/B,Replace existing garage door with a window,17-Apr-12,Planning Committee,15 Maple Avenue Ballawattleworth Estate Peel Isle Of Man IM5 1WP 
Permitted,12/00130/B,Alterations and extensions to existing garage /carport and conversion to a dwelling,12-Jun-12,Head of Development Management,Garage The Old Post Office Glen Maye Isle Of Man IM5 3AZ 
Permitted,12/00131/B,Installation of replacement windows,08-Mar-12,Senior Planning Officer - North (CB),15 Peel Road Douglas Isle Of Man IM1 4LP
Certificate of Lawfulness AGREED,12/00132/LAW,Application for a Certificate of Lawful Use for the sale of hot food from premises,02-Apr-12,Head of Development Management,The Candy Store 3 Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH 
Permitted,12/00133/B,Erection of second garden shed (Retrospective),08-Mar-12,Senior Planning Officer - North (CB),14 Ashberry Avenue Douglas Isle Of Man IM2 1PX
Permitted,12/00134/B,Installation of replacement windows and door to front elevation,08-Mar-12,Senior Planning Officer - North (CB),15 Main Road Onchan Isle Of Man IM3 1BE
Permitted,12/00135/B,Demolition of existing rear annex and erection of a replacement extension,09-Mar-12,Senior Planning Officer - North (CB),10 Woodbourne Villas Alexander Drive Douglas Isle Of Man IM2 3QG
Permitted,12/00136/B,"Creation of a campsite, erection of a toilet and shower block, retention of office unit, access alterations and installation of five electric bollards (retrospective)",03-Apr-12,Planning Committee,Field 221335 Glen Road Ballaugh Isle Of Man  
Refused,12/00137/B,Erection of a building of two apartments to replace existing dwelling and creation of off road parking to each property,10-May-12,Senior Planning Officer - North (CB),4 Park View & No's 2 & 3 Park View   Old Castletown Road Douglas Isle Of Man IM4 1AD 
Permitted,12/00138/B,"Demolition of outbuilding and store, erection of an extension to side and rear elevation and creation of a pedestrian access (Amendment to 10/00684/B)",03-Apr-12,Planning Committee,Cregville Cregneash Isle Of Man IM9 5PS 
Permitted,12/00139/B,Erection of a detached garage,05-Mar-12,Senior Planning Officer - South (SC),Land Adjacent To Merrigal House Ballavitchel Road Crosby Isle Of Man  
Permitted,12/00140/B,Alterations and extensions to dwelling and extension to existing detached dwelling,08-Mar-12,Senior Planning Officer - North (CB),Dreem Rhennee Glen Auldyn Ramsey Isle Of Man IM7 2AF 
Committee Declined to consider,12/00141/B,Erection of a storage shed,07-Feb-12,Planning Committee,Ballamodha Break Pressure Tank Ballamodha Straight Ballamodha Ballasalla Isle Of Man  
Permitted,12/00142/B,Alterations and extensions to dwelling (comprising amendments to PA 09/00245B),08-Mar-12,Head of Development Management,Fern Glen Cottage Glen Auldyn Ramsey Isle Of Man IM7 2AG 
Permitted,12/00143/B,Installation of replacement shop front,05-Mar-12,Senior Planning Officer - North (CB),2 Market Hill Ramsey Isle Of Man IM8 1JT
Permitted,12/00144/B,Erection of an extension to shed (retrospective),20-Mar-12,Planning Committee,Monks Walk Bridge Road Ballasalla Isle Of Man IM9 3DQ
Refused,12/00145/A,Approval in principle for erection of a farm worker's dwelling,03-Apr-12,Planning Committee,Field 432558 Douglas Road Ballasalla Isle Of Man  
Permitted,12/00146/B,Alteration and extension to existing garage/workshop outbuilding,20-Mar-12,Planning Committee,Annie's Cottage West Baldwin Isle Of Man IM4 5HA 
Permitted,12/00147/B,Alterations and erection of extension to dwelling,12-Mar-12,Senior Planning Officer - North (CB),2 Carrick Bay View Colby Isle Of Man IM9 4DD 
Permitted,12/00148/B,Erection of a detached combined garage and tractor/storage shed,15-Mar-12,Senior Planning Officer - South (SC),Garey Glass Staarvey Road Cronk Y Voddy Peel Isle Of Man IM5 2AS
Refused,12/00149/B,Alterations and extensions to dwelling to provide a self contained apartment,15-Mar-12,Senior Planning Officer - South (SC),11 Hilltop Rise Douglas Isle Of Man IM2 2LF
Refused,12/00150/C,Conversion from an office to a residential dwelling,23-Mar-12,Senior Planning Officer - South (SC),Old Coastguard Station Queens Promenade Ramsey Isle Of Man  
Application Withdrawn,12/00151/B,Creation of a vehicular access,15-Mar-12,Withdrawn,Thie-Ny-Garee Ballaragh Laxey Isle Of Man IM4 7PL 
Permitted,12/00152/B,Conversion of three first floor ensuite bedrooms to one self contained tourist apartment,20-Mar-12,Senior Planning Officer - North (CB),Albert Hotel Athol Street Port St. Mary Isle Of Man IM9 5DS
Permitted,12/00153/B,Widening of existing driveway,03-Apr-12,Senior Planning Officer - North (CB),Ballig Farm Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG
Permitted,12/00154/B,Replacement and relocation of existing works office and staff welfare facilities and extension of existing access,27-Mar-12,Senior Planning Officer - North (CB),Colas Depot Colas Drive Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AH 
Permitted,12/00155/B,"Remove two air conditioning units and replace existing air handling unit, two roof cowls and nine air conditioning units",12-Mar-12,Senior Planning Officer - North (CB),Evergreen House 43 Circular Road Douglas Isle Of Man IM1 1AD 
Permitted,12/00156/GB,Creation of two doorways from two existing windows (In association with 12/00157/CON),20-Mar-12,Head of Development Management,Milntown Mansion Milntown Glen Auldyn Ramsey Isle Of Man IM7 2AB 
Permitted,12/00157/CON,Registered Building consent for the creation of two doorways from two existing windows (In association with 12/00156/GB) Registered Building Nos. 168,20-Mar-12,Head of Development Management,Milntown Mansion Milntown Glen Auldyn Ramsey Isle Of Man IM7 2AB 
Permitted,12/00158/B,Erection of a single storey extension to rear elevation,12-Mar-12,Senior Planning Officer - North (CB),32 Ballellis Ballawattleworth Estate Peel Isle Of Man IM5 1WZ 
Application Withdrawn,12/00159/B,Erection of a conservatory,21-Feb-12,Withdrawn,13 Creggan Mooar Port St. Mary Isle Of Man IM9 5BB
Permitted,12/00160/B,Erection of a detached garage (Amendment to PA 11/01510/B),20-Mar-12,Senior Planning Officer - North (CB),Cedar Lodge Blackberry Lane Douglas Isle Of Man IM2 4PD
Permitted,12/00161/B,Erection of a replacement storage shed,20-Mar-12,Senior Planning Officer - North (CB),Tynwald National Park   Main Road St Johns Isle Of Man  
Permitted,12/00162/B,Erection of solar panels to rear elevation of dwelling,20-Mar-12,Senior Planning Officer - South (SC),19 Wentworth Close Onchan Isle Of Man IM3 2JT
Refused,12/00163/A,Approval in principle for erection of a dwelling,20-Mar-12,Senior Planning Officer - North (CB),Land Adjacent To Cypress House  Ballavitchel Road Crosby Isle Of Man IM4 2DL
Permitted,12/00164/B,Installation of replacement doors to roof level plant room,12-Mar-12,Senior Planning Officer - North (CB),Peveril Building Peveril Square Douglas Isle Of Man IM1 2BS 
Permitted,12/00165/B,Creation of a field access,07-Aug-12,Planning Committee,Field 531294 Ashley Road Onchan Isle Of Man  
Permitted,12/00166/B,"Replace existing garage door with rendered block work, creation of self contained tourist accommodation and erection of a detached garage",03-Apr-12,Senior Planning Officer - North (CB),5 Claughbane Avenue Ramsey Isle Of Man IM8 2BE
Permitted,12/00167/B,"Demolish existing rear outrigger and erection of a replacement extension to provide increased car parking, office space and roof terrace (In association with 12/00168/F)",20-Mar-12,Head of Development Management,21A - 23 Athol Street Douglas Isle Of Man IM1 1LB
Permitted,12/00168/F,"Registered Building consent to demolish existing rear outrigger and erection of a replacement extension to provide increased car parking, office space and roof terrace (In association with 12/00167/B)",20-Mar-12,Head of Development Management,21A - 23 Athol Street Douglas Isle Of Man IM1 1LB
Permitted,12/00169/B,Erection of a five storey building to provide nine apartments and associated parking (Amendments to 09/01388/B),18-May-12,Head of Development Management,Windsor House / Bourne Hotel The Promenade Port Erin Isle Of Man IM9 6LA
Permitted,12/00170/B,Alterations and erection of extension to dwelling,03-May-12,Senior Planning Officer - North (CB),Empress Villa Ballakillowey Road Colby Isle Of Man IM9 4BN
Permitted,12/00171/B,Erection of a detached garage with storage space over,03-Apr-12,Planning Committee,Ballarhenny Farm Orrisdale Kirk Michael Isle Of Man IM6 2HJ 
Permitted,12/00172/B,Erection of a first floor extension,12-Mar-12,Senior Planning Officer - North (CB),34 Devonshire Road Douglas Isle Of Man IM2 3RB
Permitted,12/00173/B,Installation of replacement windows to front elevation,12-Mar-12,Senior Planning Officer - North (CB),Glen Wyllin Lodge Glen Wyllin Kirk Michael Isle Of Man IM6 1AN 
Refused,12/00174/B,Creation of two additional residential flats,20-Mar-12,Senior Planning Officer - North (CB),48 Murrays Road Douglas Isle Of Man IM2 3HW
Refused,12/00175/GB,Reduce height of boundary wall (In association with 12/000176/CON),20-Mar-12,Head of Development Management,The Anchorage Parliament Lane Castletown Isle Of Man IM9 1LB 
Refused,12/00176/CON,Registered Building consent to reduce the height of a boundary wall (In association with 12/000175/GB) Registered Building Nos. 53,20-Mar-12,Head of Development Management,The Anchorage Parliament Lane Castletown Isle Of Man IM9 1LB 
Permitted,12/00177/B,Installation of replacement windows to shop front,12-Mar-12,Senior Planning Officer - North (CB),4 Market Hill Ramsey Isle Of Man IM8 1JT
Permitted,12/00178/B,Removal of chimney stack and enlargement of attic window,12-Mar-12,Senior Planning Officer - North (CB),36 Westbourne Drive Douglas Isle Of Man IM1 4BA
Permitted,12/00179/B,Installation of first floor replacement windows,20-Mar-12,Senior Planning Officer - South (SC),8 Port Jack Onchan Isle Of Man IM3 1EB
Permitted,12/00180/B,Replacement of existing skylights with roof lights and installation of replacement bay window,12-Mar-12,Senior Planning Officer - North (CB),9 Albany Street Douglas Isle Of Man IM2 3LD
Permitted,12/00181/B,Installation of four replacement windows,20-Mar-12,Senior Planning Officer - South (SC),Glen Bower Little Mill Road Onchan Isle Of Man IM4 5BD
Permitted,12/00182/C,Change of use from tourist accommodation to residential accommodation,12-Mar-12,Senior Planning Officer - North (CB),Telford Cottage (formerly Leodest Cottage) Leodest Road Andreas Isle Of Man IM7 3EG 
Permitted,12/00183/B,Installation of a flue,20-Mar-12,Senior Planning Officer - North (CB),98 Port E Chee Avenue Douglas Isle Of Man IM2 5EY
Permitted,12/00184/B,Creation of temporary construction access to serve residential development approved under PA 10/00544/B (retention of access approved under PA 10/00665/B),15-May-12,Planning Committee,Part Of Field 315097 Poortown Road Peel Isle Of Man  
Permitted,12/00185/B,Extension to dwelling,20-Mar-12,Senior Planning Officer - North (CB),Reayrt Ny Cabbil Richmond Hill Douglas Isle Of Man IM4 1JQ 
Permitted,12/00186/B,Extend existing double garage to side elevation,21-Mar-12,Senior Planning Officer - South (SC),16 Cronk Drean Douglas Isle Of Man IM2 6AY
Permitted,12/00187/B,Re-construction of eroded weir apron,26-Mar-12,Senior Planning Officer - North (CB),Laxey River Weir Opposite New Fire Station Mines Road Laxey Isle Of Man  
Permitted,12/00188/B,Erection of an extension to rear elevation to provide ancillary accommodation,20-Mar-12,Senior Planning Officer - South (SC),Torridon Baldrine Road Baldrine Isle Of Man IM4 6EB 
Permitted,12/00189/B,Installation of replacement windows to first and second floors,28-Mar-12,Senior Planning Officer - South (SC),9 East Street Ramsey Isle Of Man IM8 1DN
Permitted,12/00190/B,Alterations and extension to existing stone barn to form a dwelling,13-Sep-12,Senior Planning Officer - North (CB),Outbuildings Poylldooey House Gardeners Lane Ramsey Isle Of Man  
Permitted,12/00191/C,Additional use of residential dwelling to provide tourist accommodation,20-Mar-12,Senior Planning Officer - North (CB),Borrane The Promenade Port St. Mary Isle Of Man IM9 5DG
Permitted,12/00192/B,Conversion of redundant cattery building into a garage and garden room,05-Apr-12,Director Delegation,Beaufield Park Main Road Greeba Isle Of Man IM4 2DX 
Permitted,12/00193/B,Installation of access gates (retrospective) alterations and extensions to dwelling and demolition of redundant outbuildings and amenity block,05-Apr-12,Director Delegation,Beaufield Park Main Road Greeba Isle Of Man IM4 2DX 
Permitted,12/00194/C,Change of use from residential to office accommodation,20-Mar-12,Senior Planning Officer - North (CB),Gatehouse  Curragh Wildlife Park  Ballaugh Isle Of Man IM7 5EA 
Permitted,12/00195/B,Creation of a pedestrian access from existing car park,20-Mar-12,Senior Planning Officer - North (CB),The Wildlife Park The Curragh Ballaugh Isle Of Man IM7 5EA 
Refused,12/00196/B,Installation of replacement bay windows,27-Mar-12,Senior Planning Officer - South (SC),Flat 1 5 Demesne Road Douglas Isle Of Man IM1 3EB 
Permitted,12/00197/B,Installation of replacement windows to rear elevation,27-Mar-12,Senior Planning Officer - South (SC),15 Demesne Road Douglas Isle Of Man IM1 3EB 
Permitted,12/00198/B,Erection of patio walling and installation of pizza oven,30-Apr-12,Senior Planning Officer - South (SC),Brookside  Tosaby Road Eairy Isle Of Man IM4 3HW
Permitted,12/00199/B,Installation of replacement window to front elevation,27-Mar-12,Senior Planning Officer - South (SC),Sulby Cottage 39 Bowring Road Ramsey Isle Of Man IM8 3ES
Permitted,12/00200/C,Additional use of residential flat as self catering tourist accommodation,20-Mar-12,Senior Planning Officer - North (CB),2 Bridge Street Peel Isle Of Man IM5 1NB
Permitted,12/00201/B,Installation of replacement windows,20-Mar-12,Senior Planning Officer - North (CB),Arbory School Main Road Ballabeg Castletown Isle Of Man IM9 4LH
Permitted,12/00202/C,Change of use of existing coffee shop to retail,03-May-12,Senior Planning Officer - North (CB),1A Market Hill Also Known As 1 Market Hill Ramsey Isle Of Man IM8 1JT 
Permitted,12/00203/B,Erection of a replacement dwelling (Amendment to PA 10/01607/B) (Partial Retrospective),03-Apr-12,Planning Committee,Ballabeg Farm St Judes Road Andreas Isle Of Man IM7 3HF
Permitted,12/00204/B,Erection of a first floor extension over existing garage,21-Mar-12,Senior Planning Officer - North (CB),38 Hollin Bank Braddan Douglas Isle Of Man IM4 4TT 
Permitted,12/00205/B,Installation of replacement windows,28-Mar-12,Senior Planning Officer - South (SC),Prospect Villa Andreas Road Aust Ramsey Isle Of Man IM7 4EF 
Permitted,12/00206/B,Erection of a storage building for estate maintenance vehicles and gardener's tools,27-Mar-12,Senior Planning Officer - North (CB),Arragon Moar Church Road Santon Isle Of Man IM4 1HB 
Permitted,12/00207/B,Installation of replacement windows to front elevation,21-Mar-12,Senior Planning Officer - South (SC),20 Melbourne Street Douglas Isle Of Man IM2 3HB
Permitted,12/00208/B,Erection of a replacement extension,17-Apr-12,Senior Planning Officer - North (CB),The Old Ford House  Brack A Broom Lane St Johns Isle Of Man IM4 3AQ 
Refused,12/00209/B,Erection of a detached garage with store over to replace existing garage,03-Apr-12,Senior Planning Officer - South (SC),St Trinians Cottage Main Road Crosby Isle Of Man IM4 2DW
Permitted,12/00210/B,Alterations to dwelling,27-Mar-12,Senior Planning Officer - South (SC),14 Terence Avenue Douglas Isle Of Man IM2 5BL
